YEAR MO DY HR MN   Hs   Tp   Dp    Depth   Ta    Pres   Wspd Wdir Temp   Temp  Cspd Cdir P
      UTC           m   sec  deg     m     sec    mB     m/s  deg Air(C) Sfc(C) m/s deg  f
2008 08 14 15 54  0.82  5.88  46           4.65                           29.3           1
2008 08 14 16 24  0.84  7.69  52           4.92                           29.3           1
2008 08 14 16 54  0.81  9.09  55           5.00                           29.5           1
2008 08 14 17 24  0.85  7.69  55           5.09                           29.5           1
2008 08 14 17 54  0.83  8.33  55           5.08                           29.7           1
2008 08 14 18 24  0.86  7.69  52           5.02                           29.8           1
2008 08 14 18 54  0.87  7.14  55           5.03                           29.7           1
2008 08 14 19 24  0.86  7.69  55           5.26                           29.6           1
2008 08 14 19 54  0.83  7.69  53           5.38                           29.5           1
2008 08 14 20 24  0.88  8.33  56           5.62                           29.5           1
2008 08 14 20 54  0.85  7.14  52           5.46                           29.6           1
2008 08 14 21 24  0.89  9.09  55           5.84                           29.6           1
2008 08 14 21 54  0.86  7.14  53           5.68                           29.5           1
2008 08 14 22 24  0.89  6.67  49           5.87                           29.5           1
2008 08 14 22 54  0.96  8.33  53           6.06                           29.4           1
2008 08 14 23 24  0.98  9.09  55           5.85                           29.4           1
2008 08 14 23 54  0.98  9.09  52           5.70                           29.3           1
2008 08 15 00 24  0.95  7.69  53           5.69                           29.3           1
2008 08 15 00 54  0.95  7.69  56           5.89                           29.3           1
2008 08 15 01 24  1.02  8.33  55           6.15                           29.3           1
2008 08 15 01 54  0.98  9.09  52           6.37                           29.3           1
2008 08 15 02 24  0.99  9.09  53           6.07                           29.2           1
2008 08 15 02 54  0.86  9.09  52           5.59                           29.2           1
2008 08 15 03 24  0.92  7.69  49           6.84                           29.2           1
2008 08 15 03 54  0.84  8.33  53           7.06                           29.2           1
2008 08 15 04 24  0.84  9.09  52           7.19                           29.2           1
2008 08 15 04 54  0.87  9.09  53           7.28                           29.2           1
2008 08 15 05 24  0.92  9.09  52           7.14                           29.0           1
2008 08 15 05 54  0.94  8.33  53           7.22                           29.1           1
2008 08 15 06 24  1.02  9.09  53           7.17                           29.1           1
2008 08 15 06 54  1.01  9.09  53           6.89                           29.2           1
2008 08 15 07 24  1.01  9.09  53           7.03                           29.2           1
2008 08 15 07 54  0.95  8.33  53           6.96                           29.2           1
2008 08 15 08 24  0.98  8.33  55           6.96                           29.1           1
2008 08 15 08 54  0.96  8.33  53           7.11                           29.1           1
2008 08 15 09 24  0.93  8.33  49           7.05                           29.0           1
2008 08 15 09 54  0.91  8.33  52           7.07                           29.0           1
2008 08 15 10 24  0.89  8.33  53           7.08                           29.0           1
2008 08 15 10 54  0.76  8.33  55           6.84                           29.0           1
2008 08 15 11 24  0.84  8.33  53           7.09                           29.0           1
2008 08 15 11 54  0.77  8.33  53           6.79                           29.0           1
2008 08 15 12 24  0.76  8.33  53           6.79                           29.0           1
2008 08 15 12 54  0.78  8.33  55           6.80                           29.0           1
2008 08 15 13 24  0.79  8.33  53           6.70                           29.1           1
2008 08 15 13 54  0.77  8.33  53           6.43                           29.1           1
2008 08 15 14 24  0.82  8.33  53           6.17                           29.1           1
2008 08 15 14 54  0.83  8.33  55           5.83                           29.2           1
2008 08 15 15 24  0.89  8.33  52           5.52                           29.2           1
2008 08 15 15 54  0.87  8.33  55           5.84                           29.2           1
2008 08 15 16 24  0.77  8.33  56           5.70                           29.2           1
2008 08 15 16 54  0.80  8.33  55           5.81                           29.2           1
2008 08 15 17 24  0.79  6.67  57           5.79                           29.2           1
2008 08 15 17 54  0.94  6.67  59           5.99                           29.3           1
2008 08 15 18 24  0.97  7.14  57           5.95                           29.3           1
2008 08 15 18 54  1.07  7.14  57           6.15                           29.2           1
2008 08 15 19 24  0.98  7.14  57           6.06                           29.2           1
2008 08 15 19 54  0.90  8.33  55           5.99                           29.2           1
2008 08 15 20 24  0.97  7.14  60           5.87                           29.2           1
2008 08 15 20 54  0.90  7.14  60           5.62                           29.2           1
2008 08 15 21 24  0.93  8.33  57           5.95                           29.2           1
2008 08 15 21 54  0.95  8.33  57           5.95                           29.2           1
2008 08 15 22 24  0.89  8.33  60           6.12                           29.2           1
2008 08 15 22 54  0.92  7.69  57           6.29                           29.2           1
2008 08 15 23 24  0.89  8.33  59           6.19                           29.1           1
2008 08 15 23 54  0.78  7.69  56           6.11                           29.1           1
2008 08 16 00 24  0.77  8.33  57           5.75                           29.2           1
2008 08 16 00 54  0.86  7.69  56           5.73                           29.2           1
2008 08 16 01 24  0.82  7.14  55           5.35                           29.1           1
2008 08 16 01 54  0.81  7.69  55           5.00                           29.1           1
2008 08 16 02 24  0.84  7.69  57           4.99                           29.1           1
2008 08 16 02 54  0.82  7.69  55           4.90                           29.1           1
2008 08 16 03 24  0.85  7.69  56           4.97                           29.1           1
2008 08 16 03 54  0.90  7.69  56           5.02                           29.1           1
2008 08 16 04 24  0.80  7.14  56           4.63                           29.1           1
2008 08 16 04 54  0.82  7.14  55           4.77                           29.0           1
2008 08 16 05 24  0.80  7.69  56           4.51                           29.0           1
2008 08 16 05 54  0.86  7.69  55           4.81                           29.0           1
2008 08 16 06 24  0.88  7.69  55           4.80                           29.0           1
2008 08 16 06 54  0.82  7.69  56           5.02                           29.0           1
2008 08 16 07 24  0.80  7.14  60           4.67                           29.0           1
2008 08 16 07 54  0.77  7.14  57           4.52                           29.0           1
2008 08 16 08 24  0.72  7.69  59           4.64                           29.0           1
2008 08 16 08 54  0.80  7.14  57           4.47                           29.0           1
2008 08 16 09 24  0.82  7.69  62           4.42                           29.0           1
2008 08 16 09 54  0.83  7.69  60           4.42                           29.0           1
2008 08 16 10 24  0.86  7.14  57           4.39                           29.0           1
2008 08 16 10 54  0.86  7.69  57           4.36                           29.0           1
